country,country_name,year,rao_score,rao_score_pre_overlay,overlay_adjustment,market_size_bonus,cvar25,volatility_band,pillar_opportunity,pillar_fragility,pillar_absorptive_capacity,pillar_trajectory,tos_score,tos_signal_label,sis_score,dgi_score,rvs_score,regime,regime_label,archetype,trajectory_classification,norm_gdp_growth,norm_export_growth,norm_net_fdi_pct_gdp,norm_gross_capital_formation,norm_secondary_school_enrolment,norm_cpi_inflation,norm_government_debt_pct_gdp,norm_current_account_pct_gdp,norm_external_debt_pct_gni,norm_political_stability,norm_rule_of_law,norm_control_of_corruption,norm_natural_resource_rents_pct_gdp,norm_gdp_per_capita_growth,norm_youth_unemployment,norm_vulnerable_employment,norm_regulatory_quality,norm_gdp_growth_trend,norm_fdi_trend,norm_governance_trend,norm_debt_trend,norm_inflation_trend,universe_flag,universe_flag_severity,data_confidence,imputed_vars,anomaly_flag
AFG,AFG,2010,4.213,3.864,0.349,0.349,0.297,0.125,0.482,0.417,0.26,,0.488,Moderate Potential,0.45,0.519,0.5,SR,Structural Risk,Diversified Emerging Market,structural,0.9878,0.3693,0.367,0.5593,0.151,0.1314,0.8787,0.955,0.9038,0.0126,0.0448,0.0591,0.7875,0.9773,0.737,0.0329,0.0657,,,,,,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2011,3.849,3.5,0.349,0.349,0.177,0.163,0.306,0.444,0.165,,0.429,Moderate Potential,0.45,0.359,0.5,SR,Structural Risk,Diversified Emerging Market,structural,0.2598,0.4191,0.3271,0.4433,0.1645,0.4001,0.8763,0.9165,0.9036,0.0138,0.0386,0.0657,0.7953,0.1455,0.7352,0.0343,0.0692,,,,,,clean,N/A,MEDIUM,export_growth; gross_capital_formation,False
AFG,AFG,2012,4.365,4.016,0.349,0.349,0.338,0.138,0.49,0.445,0.277,0.558,0.47,Moderate Potential,0.45,0.579,0.388,SR,Structural Risk,Diversified Emerging Market,structural,0.8586,0.5564,0.3816,0.4347,0.169,0.4761,0.8819,0.7375,0.9088,0.0164,0.0422,0.0665,0.7862,0.7665,0.7347,0.0357,0.097,0.7008,0.2288,0.3882,0.7234,0.97,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2013,1.758,4.062,-2.304,0.349,0.258,0.151,0.429,0.404,0.25,0.638,0.602,Pre-Breakout Signal,0.45,0.606,0.84,SR,Structural Risk,Diversified Emerging Market,structural,0.6808,0.5534,0.3203,0.4372,0.1666,0.3035,0.8814,0.578,0.9045,0.0122,0.0631,0.0709,0.7876,0.5264,0.7357,0.0381,0.095,0.6126,0.3284,0.8397,0.7575,0.8819,narrative_inconsistency,HIGH,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2014,4.043,3.694,0.349,0.349,0.25,0.162,0.389,0.471,0.234,0.572,0.512,Moderate Potential,0.277,0.557,0.951,SR,Structural Risk,Diversified Emerging Market,structural,0.4211,0.5415,0.3815,0.4472,0.1566,0.6603,0.8848,0.7919,0.9074,0.0196,0.0678,0.0816,0.7883,0.2018,0.7324,0.0404,0.1092,0.2088,0.4019,0.9513,0.7665,0.97,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2015,3.316,3.611,-0.295,0.349,0.258,0.188,0.332,0.458,0.233,0.716,0.478,Moderate Potential,0.208,0.607,0.952,SR,Structural Risk,Diversified Emerging Market,recovery_bounce,0.3462,0.4576,0.3572,0.4124,0.1469,0.6274,0.8974,0.8098,0.8944,0.0128,0.0671,0.0861,0.7497,0.2111,0.6637,0.042,0.1264,0.6015,0.7272,0.9521,0.7866,0.9553,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2016,3.709,3.36,0.349,0.349,0.232,0.163,0.327,0.455,0.221,0.558,0.447,Moderate Potential,0.197,0.527,0.957,SR,Structural Risk,Diversified Emerging Market,structural,0.4253,0.4081,0.3032,0.4181,0.1397,0.5467,0.9127,0.9363,0.8754,0.0137,0.0737,0.0786,0.7776,0.3007,0.5824,0.0434,0.0777,0.0294,0.651,0.9566,0.8221,0.612,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2017,3.821,3.472,0.349,0.349,0.243,0.167,0.385,0.455,0.213,0.597,0.461,Moderate Potential,0.269,0.524,0.747,SR,Structural Risk,Diversified Emerging Market,structural,0.4049,0.4338,0.4077,0.5397,0.1566,0.5528,0.9113,0.9134,0.8707,0.0106,0.0703,0.0815,0.7784,0.2655,0.4813,0.0455,0.0687,0.2631,0.5545,0.7467,0.8269,0.669,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2018,3.474,3.125,0.349,0.349,0.233,0.166,0.396,0.462,0.204,0.579,0.381,Low Takeoff Signal,0.265,0.509,0.415,SR,Structural Risk,Commodity Exporter,structural,0.2383,0.4853,0.4424,0.6225,0.1669,0.5356,0.9135,0.9608,0.8803,0.0096,0.0621,0.0842,0.7438,0.1076,0.493,0.0445,0.0878,0.4742,0.6253,0.4146,0.7989,0.6318,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
AFG,AFG,2019,3.97,3.621,0.349,0.349,0.266,0.154,0.434,0.465,0.236,0.563,0.468,Moderate Potential,0.45,0.526,0.426,SR,Structural Risk,Diversified Emerging Market,structural,0.6127,0.4518,0.4097,0.6409,0.1627,0.5382,0.9181,0.9401,0.882,0.0094,0.0651,0.0857,0.7471,0.4218,0.5161,0.0432,0.0927,0.634,0.4875,0.4265,0.7714,0.5182,clean,N/A,MEDIUM,export_growth; gross_capital_formation,True
