country_name,rao_score_1_10,rao_regime
Afghanistan,1.1,Structural risk
Albania,8.5,Robust opportunity
Algeria,7.3,Fragile opportunity
Angola,2.2,Structural risk
Argentina,7.2,Fragile opportunity
Armenia,7.4,Robust opportunity
Aruba,5.5,Fragile opportunity
Australia,7.8,Robust opportunity
Austria,6.8,Robust opportunity
Azerbaijan,3.4,Structural risk
"Bahamas, The",4.7,Stable but low opportunity
Bahrain,7.9,Robust opportunity
Bangladesh,4.3,Stable but low opportunity
Barbados,9.3,Fragile opportunity
Belarus,8.1,Fragile opportunity
Belgium,6.7,Robust opportunity
Belize,3.6,Stable but low opportunity
Benin,2.9,Stable but low opportunity
Bhutan,9.9,Fragile opportunity
Bolivia,3.2,Stable but low opportunity
Bosnia and Herzegovina,4.7,Stable but low opportunity
Botswana,6.2,Fragile opportunity
Brazil,3.7,Stable but low opportunity
Brunei Darussalam,9.5,Fragile opportunity
Bulgaria,5.3,Stable but low opportunity
Burkina Faso,2,Structural risk
Burundi,1.1,Structural risk
Cabo Verde,8.4,Fragile opportunity
Cambodia,6.8,Robust opportunity
Cameroon,1.7,Stable but low opportunity
Canada,8,Robust opportunity
Central African Republic,1.2,Structural risk
Chad,1.4,Structural risk
Chile,5.9,Robust opportunity
China,9.5,Fragile opportunity
Colombia,3.7,Stable but low opportunity
Comoros,1.8,Structural risk
"Congo, Dem. Rep.",2.6,Stable but low opportunity
"Congo, Rep.",7.4,Fragile opportunity
Costa Rica,4.8,Stable but low opportunity
Cote d'Ivoire,2.1,Structural risk
Croatia,6.1,Robust opportunity
Cyprus,8.1,Fragile opportunity
Czechia,7.8,Robust opportunity
Denmark,7.3,Robust opportunity
Djibouti,2.7,Structural risk
Dominica,5,Structural risk
Dominican Republic,5,Stable but low opportunity
Ecuador,4.3,Stable but low opportunity
"Egypt, Arab Rep.",2.9,Structural risk
El Salvador,3.5,Stable but low opportunity
Estonia,8.3,Robust opportunity
Eswatini,1.7,Stable but low opportunity
Ethiopia,2.5,Structural risk
Europe & Central Asia (excluding high income),7.1,Robust opportunity
Fiji,4.5,Stable but low opportunity
Finland,7,Robust opportunity
France,5.5,Stable but low opportunity
Gabon,5.6,Robust opportunity
"Gambia, The",5.2,Stable but low opportunity
Georgia,8,Robust opportunity
Germany,5.7,Robust opportunity
Ghana,4,Stable but low opportunity
Greece,2.7,Structural risk
Grenada,6.3,Robust opportunity
Guatemala,1.5,Stable but low opportunity
Guinea,2.5,Structural risk
Guinea-Bissau,3.6,Stable but low opportunity
Guyana,9.1,Fragile opportunity
Haiti,2.3,Structural risk
Honduras,2.3,Stable but low opportunity
"Hong Kong SAR, China",7.5,Fragile opportunity
Hungary,9,Robust opportunity
Iceland,9.4,Fragile opportunity
India,5.3,Stable but low opportunity
Indonesia,6.6,Robust opportunity
"Iran, Islamic Rep.",5.9,Fragile opportunity
Iraq,2.1,Structural risk
Ireland,9.6,Fragile opportunity
Israel,5.6,Robust opportunity
Italy,4.9,Structural risk
Jamaica,8.7,Fragile opportunity
Japan,6.2,Robust opportunity
Jordan,5.4,Stable but low opportunity
Kazakhstan,8.2,Fragile opportunity
Kenya,3.2,Stable but low opportunity
Kiribati,8.6,Fragile opportunity
"Korea, Rep.",9.2,Robust opportunity
Kosovo,6.9,Robust opportunity
Kuwait,6.7,Fragile opportunity
Kyrgyz Republic,8.2,Fragile opportunity
Lao PDR,8.4,Robust opportunity
Latin America & Caribbean (excluding high income),4.2,Stable but low opportunity
Latvia,6.5,Robust opportunity
Lebanon,4.9,Structural risk
Lesotho,2.2,Structural risk
Liberia,1.6,Structural risk
Libya,2.8,Structural risk
Lithuania,7.6,Robust opportunity
Luxembourg,6,Fragile opportunity
"Macao SAR, China",9.4,Fragile opportunity
Madagascar,1.8,Structural risk
Malawi,1.9,Structural risk
Malaysia,5.8,Robust opportunity
Maldives,8.7,Fragile opportunity
Mali,1.5,Structural risk
Malta,9.8,Fragile opportunity
Marshall Islands,5.1,Structural risk
Mauritania,4,Structural risk
Mauritius,7.2,Fragile opportunity
Mexico,3.5,Stable but low opportunity
Moldova,4.2,Stable but low opportunity
Mongolia,10,Fragile opportunity
Montenegro,8.9,Fragile opportunity
Morocco,4.5,Stable but low opportunity
Mozambique,9.6,Fragile opportunity
Myanmar,2.3,Stable but low opportunity
Namibia,3.4,Structural risk
Nepal,4.1,Structural risk
Netherlands,7,Robust opportunity
New Zealand,7.6,Fragile opportunity
Nicaragua,4.6,Stable but low opportunity
Niger,1.6,Structural risk
North Macedonia,7.7,Robust opportunity
Norway,9.1,Fragile opportunity
Oman,8.6,Robust opportunity
Pakistan,1.2,Structural risk
Palau,6.4,Fragile opportunity
Panama,8.3,Fragile opportunity
Papua New Guinea,2.8,Structural risk
Paraguay,4.1,Stable but low opportunity
Peru,3.6,Stable but low opportunity
Philippines,3.1,Stable but low opportunity
Poland,6.3,Robust opportunity
Portugal,5.4,Structural risk
Qatar,9.8,Fragile opportunity
Romania,5.7,Robust opportunity
Russian Federation,3.8,Stable but low opportunity
Rwanda,3,Structural risk
Samoa,8.9,Fragile opportunity
San Marino,4.6,Structural risk
Sao Tome and Principe,3.3,Stable but low opportunity
Saudi Arabia,7.5,Robust opportunity
Senegal,3.9,Structural risk
