country_name,rao_score_1_10,rao_regime
Afghanistan,0.88,Structural Risk
Albania,5.4,Stable but Low Opportunity
Algeria,4.9,Stable but Low Opportunity
American Samoa,4.29,Structural Risk
Andorra,4.39,Structural Risk
Angola,4.7,Stable but Low Opportunity
Antigua and Barbuda,4.06,Structural Risk
Argentina,5,Stable but Low Opportunity
Armenia,4.56,Stable but Low Opportunity
Aruba,3.07,Structural Risk
Australia,9.04,Robust Opportunity
Austria,4.38,Structural Risk
Azerbaijan,4.58,Stable but Low Opportunity
"Bahamas, The",4.23,Structural Risk
Bahrain,6.92,Fragile Opportunity
Bangladesh,5.2,Stable but Low Opportunity
Barbados,3.8,Structural Risk
Belarus,5.23,Stable but Low Opportunity
Belgium,7.83,Robust Opportunity
Belize,3.08,Structural Risk
Benin,6.41,Fragile Opportunity
Bermuda,1.41,Structural Risk
Bhutan,5.58,Fragile Opportunity
Bolivia,3.52,Structural Risk
Bosnia and Herzegovina,5.76,Fragile Opportunity
Botswana,6,Fragile Opportunity
Brazil,6.3,Fragile Opportunity
British Virgin Islands,5.01,Stable but Low Opportunity
Brunei Darussalam,5.92,Fragile Opportunity
Bulgaria,4.99,Stable but Low Opportunity
Burkina Faso,5.56,Fragile Opportunity
Burundi,3.56,Structural Risk
Cabo Verde,5.35,Stable but Low Opportunity
Cambodia,7.83,Robust Opportunity
Cameroon,5.45,Stable but Low Opportunity
Canada,7.96,Robust Opportunity
Cayman Islands,6.12,Fragile Opportunity
Central Europe and the Baltics,5.65,Fragile Opportunity
Chad,4.08,Structural Risk
Channel Islands,3.63,Structural Risk
Chile,6.6,Fragile Opportunity
China,7.2,Robust Opportunity
Colombia,4.48,Structural Risk
Comoros,4.55,Stable but Low Opportunity
"Congo, Dem. Rep.",3.5,Structural Risk 
"Congo, Rep.",5.62,Fragile Opportunity
Costa Rica,5.31,Stable but Low Opportunity
Cote d'Ivoire,4.55,Stable but Low Opportunity
Croatia,3.57,Structural Risk
Cuba,2.62,Structural Risk
Curacao,4.57,Stable but Low Opportunity
Cyprus,4.12,Structural Risk
Czechia,6.06,Fragile Opportunity
Denmark,4.58,Stable but Low Opportunity
Djibouti,6.07,Fragile Opportunity
Dominica,3.86,Structural Risk
Dominican Republic,5.75,Fragile Opportunity
Ecuador,3.09,Structural Risk
"Egypt, Arab Rep.",5.39,Stable but Low Opportunity
El Salvador,3.07,Structural Risk
Equatorial Guinea,2.66,Structural Risk
Eritrea,3.98,Structural Risk
Estonia,6.59,Fragile Opportunity
Eswatini,4.07,Structural Risk
Ethiopia,7.99,Robust Opportunity
European Union,6,Stable but Low Opportunity
Faroe Islands,6.37,Fragile Opportunity
Fiji,3.66,Structural Risk
Finland,5.05,Stable but Low Opportunity
France,7.16,Robust Opportunity
French Polynesia,2.93,Structural Risk
Gabon,6.29,Fragile Opportunity
"Gambia, The",5.13,Stable but Low Opportunity
Georgia,6.48,Fragile Opportunity
Germany,7.67,Robust Opportunity
Ghana,4.7,Stable but Low Opportunity
Gibraltar,5.01,Stable but Low Opportunity
Greece,6.48,Fragile Opportunity
Greenland,6.65,Fragile Opportunity
Grenada,4.89,Stable but Low Opportunity
Guam,4.08,Structural Risk
Guatemala,4.8,Stable but Low Opportunity
Guinea,7.72,Robust Opportunity
Guinea-Bissau,4.87,Stable but Low Opportunity
Guyana,5.42,Stable but Low Opportunity
Haiti,2.24,Structural Risk
Heavily indebted poor countries (HIPC),7.9,Robust Opportunity
Honduras,4.93,Stable but Low Opportunity
"Hong Kong SAR, China",4.76,Stable but Low Opportunity
Hungary,6.52,Fragile Opportunity
Iceland,2.94,Structural Risk
India,8.43,Robust Opportunity
Indonesia,7.5,Robust Opportunity
"Iran, Islamic Rep.",3,Structural Risk 
Iraq,2.39,Structural Risk
Ireland,9,Robust Opportunity
Isle of Man,4.06,Structural Risk
Israel,6.45,Fragile Opportunity
Italy,6.44,Fragile Opportunity
Jamaica,3.71,Structural Risk
Japan,7.29,Robust Opportunity
Jordan,7.24,Robust Opportunity
Kazakhstan,7.09,Robust Opportunity
Kenya,5.29,Stable but Low Opportunity
Kiribati,4.44,Structural Risk
"Korea, Dem. People's Rep.",0.8,Structural Risk
"Korea, Rep.",6.77,Fragile Opportunity
Kosovo,7.29,Robust Opportunity
Kuwait,7,Ribust Opportunity
Kyrgyz Republic,6.57,Fragile Opportunity
Lao PDR,5,Fragile Opportunity
Latvia,5.53,Fragile Opportunity
Least developed countries: UN classification,7.4,Robust Opportunity
Lebanon,2.3,Structural Risk
Lesotho,4.54,Stable but Low Opportunity
Liberia,5.77,Fragile Opportunity
Libya,1.33,Structural Risk
Liechtenstein,6,Fragile Opportunity
Lithuania,5.8,Fragile Opportunity
Luxembourg,7,Stable but Low Opportunity
"Macao SAR, China",3.81,Structural Risk
Madagascar,2,Stable but Low Opportunity
Malawi,3,Fragile Opportunity
Malaysia,6,Fragile Opportunity
Maldives,6.3,Fragile Opportunity
Mali,2.8,Fragile Opportunity
Malta,5.5,Fragile Opportunity
Marshall Islands,4.52,Stable but Low Opportunity
Mauritania,8.65,Robust Opportunity
Mauritius,3.71,Structural Risk
Mexico,6.9,Fragile Opportunity
"Micronesia, Fed. Sts.",5.45,Stable but Low Opportunity
Moldova,4.44,Structural Risk
Monaco,7,Stable but Low Opportunity
Mongolia,7.35,Robust Opportunity
Montenegro,5.51,Fragile Opportunity
Morocco,5.85,Fragile Opportunity
Mozambique,8.45,Robust Opportunity
Myanmar,1.5,Structural Risk
Namibia,4,Stable but Low Opportunity
Nauru,3.61,Structural Risk
Nepal,4,Fragile Opportunity
Netherlands,8.71,Robust Opportunity
New Caledonia,6.57,Fragile Opportunity
New Zealand,8.01,Robust Opportunity
Nicaragua,6.57,Fragile Opportunity
Niger,4,Fragile Opportunity
Nigeria,4.8,Stable but Low Opportunity
North America,5.02,Stable but Low Opportunity
North Macedonia,7.05,Robust Opportunity
Northern Mariana Islands,3.03,Structural Risk
Norway,6.15,Stable but Low Opportunity
OECD members,4.92,Stable but Low Opportunity
Oman,6.47,Fragile Opportunity
Pakistan,2.5,Structural Risk
Palau,5.35,Stable but Low Opportunity
Panama,6.64,Fragile Opportunity
Papua New Guinea,4.11,Structural Risk
Paraguay,4.4,Structural Risk
Peru,4.18,Structural Risk
Philippines,6,Fragile Opportunity
Poland,6.9,Fragile Opportunity
Portugal,7.64,Robust Opportunity
Puerto Rico (US),3.6,Structural Risk
Qatar,7.5,Robust Opportunity
Romania,5.29,Stable but Low Opportunity
Russian Federation,4,Structural Risk
Rwanda,6.23,Fragile Opportunity
Samoa,4.22,Structural Risk
San Marino,2.68,Structural Risk
Sao Tome and Principe,7.02,Robust Opportunity
Saudi Arabia,8.2,Robust Opportunity
Senegal,6,Stable but Low Opportunity
Serbia,5.34,Stable but Low Opportunity
Seychelles,6.16,Fragile Opportunity
Sierra Leone,4.56,Stable but Low Opportunity
Singapore,8.4,Robust Opportunity
Sint Maarten (Dutch part),2.88,Structural Risk
Slovak Republic,5.12,Stable but Low Opportunity
Slovenia,3.99,Structural Risk
Solomon Islands,4.7,Stable but Low Opportunity
"Somalia, Fed. Rep.",1.8,Structural Risk
South Sudan,0.12,Structural Risk
Spain,7.19,Robust Opportunity
Sri Lanka,5.04,Fragile Opportunity
St. Kitts and Nevis,4.33,Structural Risk
St. Lucia,3.91,Structural Risk
St. Martin (French part),2.83,Structural Risk
St. Vincent and the Grenadines,5.75,Fragile Opportunity
Sudan,1.14,Structural Risk
Suriname,3.87,Structural Risk
Sweden,5.99,Fragile Opportunity
Switzerland,8.6,Robust Opportunity
Syrian Arab Republic,2.23,Structural Risk
Tajikistan,8.33,Robust Opportunity
Tanzania,4.8,Fragile Opportunity
Thailand,5.27,Stable but Low Opportunity
Timor-Leste,4.16,Structural Risk
Togo,5.88,Fragile Opportunity
Tonga,5.41,Stable but Low Opportunity
Tunisia,3.15,Structural Risk
